date	Tavg
01.01.2018	26,6
01.02.2018	26,6
01.03.2018	26,8
01.04.2018	27,9
01.05.2018	29,4
01.06.2018	28,8
01.07.2018	27,8
01.08.2018	27,8
01.09.2018	29,2
01.10.2018	27,2
01.11.2018	27,2
01.12.2018	27
01.01.2019	26,5
01.02.2019	27
01.03.2019	27,7
01.04.2019	26,1
01.05.2019	29,3
01.06.2019	26,5
01.07.2019	30,7
01.08.2019	28,8
01.09.2019	26,2
01.10.2019	27,1
01.11.2019	26,3
01.12.2019	25,4
01.01.2020	27,1
01.02.2020	27,8
01.03.2020	28
01.04.2020	27,8
01.05.2020	26
01.06.2020	28,7
01.07.2020	28,3
01.08.2020	27,5
01.09.2020	26,9
01.10.2020	26,7
01.11.2020	27,5
01.12.2020	27,5
