"FREQ","TR2(S1)","TR2(S1)"
10,-22.9482,85.8656
12.58925412,-20.961,84.7997
15.84893192,-18.9813,83.463
19.95262315,-17.0132,81.79
25.11886432,-15.0633,79.7033
31.6227766,-13.1415,77.114
39.81071706,-11.2627,73.9266
50.11872336,-9.44812,70.0502
63.09573445,-7.72666,65.4186
79.43282347,-6.13451,60.0217
100,-4.71143,53.9407
125.8925412,-3.49299,47.3701
158.4893192,-2.50032,40.6022
199.5262315,-1.73277,33.9655
251.1886432,-1.16817,27.7429
316.227766,-0.770581,22.1125
398.1071706,-0.50053,17.1341
501.1872336,-0.322612,12.7722
630.9573445,-0.208986,8.93058
794.3282347,-0.139763,5.48091
1000,-0.10196,2.28153
1258.925412,-0.0881938,-0.814219
1584.893192,-0.0957279,-3.95559
1995.262315,-0.126074,-7.2953
2511.886432,-0.185225,-10.991
3162.27766,-0.284486,-15.2049
3981.071706,-0.441766,-20.0982
5011.872336,-0.682897,-25.8183
6309.573445,-1.04202,-32.4742
7943.282347,-1.55951,-40.1057
10000,-2.27602,-48.6566
12589.25412,-3.22321,-57.9776
15848.93192,-4.41532,-67.8748
19952.62315,-5.84727,-78.1919
25118.86432,-7.5015,-88.8847
31622.7766,-9.36016,-100.049
39810.71706,-11.4166,-111.901
50118.72336,-13.6829,-124.718
63095.73445,-16.1918,-138.78
79432.82347,-18.9941,-154.298
100000,-22.1519,-171.379
125892.5412,-25.7303,169.987
158489.3192,-29.7923,149.905
199526.2315,-34.3984,128.569
251188.6432,-39.6064,106.273
316227.766,-45.466,83.45
398107.1706,-52.0078,60.6797
501187.2336,-59.23,38.6411
630957.3445,-67.0913,18.0135
794328.2347,-75.5131,-0.648038
1000000,-84.3932,-17.0078
